gene_id,anova_pvalue,kruskal_pvalue,anova_pvalue_adj,kruskal_pvalue_adj
ENSCGRT00001000147,0.29360519782384736,0.3879821555741349,0.41402377041892835,0.8146293743779413
ENSCGRT00001000148,0.014561846581517919,0.8312581192362087,0.05432115225271625,1.0
ENSCGRT00001000149,0.07133780126664417,0.005818405339730166,0.14760062131111487,0.08284047166765124
ENSCGRT00001000150,0.9589715345855016,0.7858792777148279,0.9693107482398533,1.0
ENSCGRT00001000151,0.016155896233584606,0.001305143815567897,0.0576539331012778,0.039734920500878325
ENSCGRT00001000152,0.8595086573845598,0.8880362719279514,0.8925977859596321,1.0
ENSCGRT00001000153,,1.0,,1.0
ENSCGRT00001000154,0.1428649195239996,0.6905010206553777,0.24618130058837975,1.0
ENSCGRT00001000155,0.18315852203170088,0.17877328879341778,0.2961417856759787,0.48157766110430644
ENSCGRT00001000156,,1.0,,1.0
ENSCGRT00001000157,0.8821592881079069,0.13223541526365684,0.9105494765217684,0.3992178650143335
ENSCGRT00001000158,0.0004080476498683959,0.0133663693394761,0.015871689286826328,0.12294033961579857
ENSCGRT00001000159,0.2935042012686455,1.0,0.4139334878443825,1.0
ENSCGRT00001000160,0.045839312154502786,0.08795256971268074,0.10704117298833031,0.3128756997154156
ENSCGRT00001000161,0.0007011706041382236,0.00552511599674418,0.020000518058161894,0.08100346999844682
ENSCGRT00001000162,0.168428860578777,0.0049925453243967475,0.2774339205594812,0.07712891613777766
ENSCGRT00001000163,0.48764492823998296,0.6871335640105409,0.5999223367320766,1.0
ENSCGRT00001000164,0.8865512622055156,0.2510845447363783,0.9141242851054696,0.6017371441590496
ENSCGRT00001000165,0.008463813995238618,0.6211616458233628,0.04255736196730512,1.0
ENSCGRT00001000166,,1.0,,1.0
ENSCGRT00001000167,0.15283118687004954,1.0,0.25624390021168786,1.0
ENSCGRT00001000168,,1.0,,1.0
ENSCGRT00001000169,0.009934676396356996,1.0,0.04545105678961068,1.0
ENSCGRT00001000170,0.06829192365767713,0.6644611790432742,0.14303301915667663,1.0
ENSCGRT00001000171,0.548649404875079,1.0,0.6306535915015167,1.0
ENSCGRT00001000172,0.012832853892418571,0.038334777814562945,0.05090817847384005,0.20338427199558137
ENSCGRT00001000173,,1.0,,1.0
